   

    7     0 [  4]         KERNEL32!TlsGetValue
   29    38 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   22     0 [  4]         sqldk!ThreadScheduler::SwitchPreemptive
   34    60 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   66   102 [  2]     launchpad!CLaunchContext::Launch
   43     0 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    1     0 [  4]         KERNEL32!QueryPerformanceCounterStub
   19     0 [  4]         ntdll!RtlQueryPerformanceCounter
   53    20 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
   65    40 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
  205     0 [  4]         RLauncher!GetInstance
   70   245 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   12     0 [  4]         RLauncher
   93   257 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
   98   277 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    1     0 [  4]         MSVCR120!operator delete
   13     0 [  4]         MSVCR120!free
  101   291 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   28     0 [  4]         RLauncher
  108   319 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
  112   339 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    6     0 [  4]         RLauncher!GetInstance
  121   345 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   69   568 [  2]     launchpad!CLaunchContext::Launch
   14     0 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   65     0 [  4]         sqldk!ThreadScheduler::SwitchNonPreemptive
   20    65 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   29    73 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   40     0 [  3]       sqldk!SOS_Task::PopWait
   93     0 [  4]         sqldk!SOS_Scheduler::UpdateWaitTimeStats
   45    93 [  3]       sqldk!SOS_Task::PopWait
   83   808 [  2]     launchpad!CLaunchContext::Launch
  112  3829 [  1]   launchpad!CLaunchContext::LaunchInternal
   24     0 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   50     0 [  3]       launchpad!SNIPacketAllocateEx2
   41     0 [  4]         launchpad!SNIMemRegion::Pop
   98    41 [  3]       launchpad!SNIPacketAllocateEx2
   50   139 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   14     0 [  3]       launchpad!CSQLSatelliteMessage::FireXEvent
    6     0 [  4]         launchpad!_security_check_cookie
   17     6 [  3]       launchpad!CSQLSatelliteMessage::FireXEvent
   59   162 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   18     0 [  3]       MSVCR120!memcpy_s
    9     0 [  4]         MSVCR120!memcpy
    4     0 [  4]         MSVCR120!MoveSmall
   26    13 [  3]       MSVCR120!memcpy_s
   91   201 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   18     0 [  3]       MSVCR120!memcpy_s
   45     0 [  4]         MSVCR120!memcpy
   26    45 [  3]       MSVCR120!memcpy_s
  114   272 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   14     0 [  3]       launchpad!CSQLSatelliteMessage::FireXEvent
