   45   138 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
    6     0 [  4]         sqllang!_security_check_cookie
   50   144 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
  129  2801 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   50     0 [  3]       sqllang!SNIGetInfo
  133  2851 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   16     0 [  3]       sqllang!CSQLSatelliteConnection::Close
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   38     8 [  3]       sqllang!CSQLSatelliteConnection::Close
   45     0 [  4]         sqllang!SOS_RWLock::GetLock
   46    53 [  3]       sqllang!CSQLSatelliteConnection::Close
   98     0 [  4]         sqllang!SNICloseEx
   52   151 [  3]       sqllang!CSQLSatelliteConnection::Close
    4     0 [  4]         sqllang!TracePrintSatellite
   58   155 [  3]       sqllang!CSQLSatelliteConnection::Close
   29     0 [  4]         sqldk!SOS_RWLock::ReleaseLock
   72   184 [  3]       sqllang!CSQLSatelliteConnection::Close
  143  3107 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   50     0 [  3]       sqllang!SNIGetInfo
  147  3157 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   16     0 [  3]       sqllang!CSQLSatelliteConnection::Close
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   38     8 [  3]       sqllang!CSQLSatelliteConnection::Close
   45     0 [  4]         sqllang!SOS_RWLock::GetLock
   46    53 [  3]       sqllang!CSQLSatelliteConnection::Close
   98     0 [  4]         sqllang!SNICloseEx
   52   151 [  3]       sqllang!CSQLSatelliteConnection::Close
    4     0 [  4]         sqllang!TracePrintSatellite
   58   155 [  3]       sqllang!CSQLSatelliteConnection::Close
   29     0 [  4]         sqldk!SOS_RWLock::ReleaseLock
   72   184 [  3]       sqllang!CSQLSatelliteConnection::Close
  157  3413 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   10     0 [  3]       sqllang!CServerCargoContext::`scalar deleting destructor'
    8     0 [  4]         sqllang!CSQL_RowChunk::FreePackets
   13     8 [  3]       sqllang!CServerCargoContext::`scalar deleting destructor'
   25     0 [  4]         sqllang!CSQL_RowChunk::~CSQL_RowChunk
   16    33 [  3]       sqllang!CServerCargoContext::`scalar deleting destructor'
  131     0 [  4]         sqllang!CSatelliteCargoContext::~CSatelliteCargoContext
