  157    68 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  162    71 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  187    73 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CXVariant::PbShallowBufPtr
  193    75 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  197    78 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  202    81 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  205    83 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  209    86 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  214    89 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  220    91 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!`anonymous namespace'::MarkEndOfTokenStream
  224    93 [  2]     sqllang!CTds74::SendRowImpl
    5     0 [  3]       sqllang!Worker::TaskAutoOnFlags::~TaskAutoOnFlags
  227    98 [  2]     sqllang!CTds74::SendRowImpl
    6     0 [  3]       sqllang!_security_check_cookie
  237   104 [  2]     sqllang!CTds74::SendRowImpl
   12   341 [  1]   sqllang!CUDXR_ExternalScript::OutputRow
    1     0 [  2]     KERNEL32!TlsGetValueStub
    7     0 [  2]     KERNEL32!TlsGetValue
   21   349 [  1]   sqllang!CUDXR_ExternalScript::OutputRow
   45   988 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows


   11     0 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows
   38     0 [  1]   sqllang!CServerCargoContext::ReadOneRow
   38     0 [  2]     sqldk!CMemProc::Alloc
   51    38 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   59    57 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   82    76 [  1]   sqllang!CServerCargoContext::ReadOneRow
   54     0 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   21     0 [  3]       sqllang!SQLDataReaderTargetRow::TargetBufferPtr
   83    21 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   18     0 [  3]       MSVCR120!memcpy_s
    9     0 [  4]         MSVCR120!memcpy
    4     0 [  4]         MSVCR120!MoveSmall
   26    13 [  3]       MSVCR120!memcpy_s
  126    60 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   98   262 [  1]   sqllang!CServerCargoContext::ReadOneRow
   14     0 [  2]     sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  3]       sqllang!_security_check_cookie
   17     6 [  2]     sqllang!CSQLSatelliteMessage::FireXEvent
  104   285 [  1]   sqllang!CServerCargoContext::ReadOneRow
   16     0 [  2]     sqllang!MessageTelemetry::Record
  117   301 [  1]   sqllang!CServerCargoContext::ReadOneRow
   50     0 [  2]     sqllang!CSQLSatelliteConnection::FreePackets
   11     0 [  3]       sqllang!SNIMemRegion::Push
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   39     2 [  3]       sqllang!SNIMemRegion::Push
   60    41 [  2]     sqllang!CSQLSatelliteConnection::FreePackets
  141   402 [  1]   sqllang!CServerCargoContext::ReadOneRow
   54     0 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   21     0 [  3]       sqllang!SQLDataReaderTargetRow::TargetBufferPtr
   83    21 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   18     0 [  3]       MSVCR120!memcpy_s
    9     0 [  4]         MSVCR120!memcpy
    4     0 [  4]         MSVCR120!MoveSmall
   26    13 [  3]       MSVCR120!memcpy_s
  126    60 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
  157   588 [  1]   sqllang!CServerCargoContext::ReadOneRow
   14     0 [  2]     sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  3]       sqllang!_security_check_cookie
   17     6 [  2]     sqllang!CSQLSatelliteMessage::FireXEvent
  163   611 [  1]   sqllang!CServerCargoContext::ReadOneRow
   16     0 [  2]     sqllang!MessageTelemetry::Record
  176   627 [  1]   sqllang!CServerCargoContext::ReadOneRow
   50     0 [  2]     sqllang!CSQLSatelliteConnection::FreePackets
   11     0 [  3]       sqllang!SNIMemRegion::Push
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   38     2 [  3]       sqllang!SNIMemRegion::Push
   60    40 [  2]     sqllang!CSQLSatelliteConnection::FreePackets
  224   727 [  1]   sqllang!CServerCargoContext::ReadOneRow
   25   951 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows
    1     0 [  1]   KERNEL32!TlsGetValueStub
    7     0 [  1]   KERNEL32!TlsGetValue
   37   959 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows
    8     0 [  1]   sqllang!CUDXR_ExternalScript::OutputRow
   37     0 [  2]     sqllang!CTds74::SendRowImpl
   14     0 [  3]       sqllang!_chkstk
   91    14 [  2]     sqllang!CTds74::SendRowImpl
    9     0 [  3]       sqllang!Worker::TaskAutoOnFlags::TaskAutoOnFlags
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   25     8 [  3]       sqllang!Worker::TaskAutoOnFlags::TaskAutoOnFlags
   97    47 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  101    50 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  106    53 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  135    55 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CXVariant::PbShallowBufPtr
  141    57 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  145    60 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  150    63 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  153    65 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  157    68 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  162    71 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  187    73 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CXVariant::PbShallowBufPtr
  193    75 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  197    78 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  202    81 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  205    83 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::DwGetOutputSpaceLeft
  209    86 [  2]     sqllang!CTds74::SendRowImpl
    3     0 [  3]       sqllang!CNetConnection::PbGetOutputCurPtr
  214    89 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!CNetConnection::IncOutputPktLen
  220    91 [  2]     sqllang!CTds74::SendRowImpl
    2     0 [  3]       sqllang!`anonymous namespace'::MarkEndOfTokenStream
  224    93 [  2]     sqllang!CTds74::SendRowImpl
    5     0 [  3]       sqllang!Worker::TaskAutoOnFlags::~TaskAutoOnFlags
  227    98 [  2]     sqllang!CTds74::SendRowImpl
    6     0 [  3]       sqllang!_security_check_cookie
  237   104 [  2]     sqllang!CTds74::SendRowImpl
   12   341 [  1]   sqllang!CUDXR_ExternalScript::OutputRow
    1     0 [  2]     KERNEL32!TlsGetValueStub
    7     0 [  2]     KERNEL32!TlsGetValue
   21   349 [  1]   sqllang!CUDXR_ExternalScript::OutputRow
   45  1329 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows


   11     0 [  0] sqllang!CUDXR_ExternalScript::ProcessResultRows
   38     0 [  1]   sqllang!CServerCargoContext::ReadOneRow
   38     0 [  2]     sqldk!CMemProc::Alloc
   51    38 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   59    57 [  1]   sqllang!CServerCargoContext::ReadOneRow
   19     0 [  2]     sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   80    76 [  1]   sqllang!CServerCargoContext::ReadOneRow
   28     0 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
  150     0 [  3]       sqllang!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   36   150 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
   49     0 [  3]       sqllang!CSQLSatelliteCommunication::Init
   36     0 [  4]         sqldk!CMemProc::Alloc
   68    36 [  3]       sqllang!CSQLSatelliteCommunication::Init
   40     0 [  4]         sqldk!CMemProc::Alloc
  118    76 [  3]       sqllang!CSQLSatelliteCommunication::Init
