   52   478 [ 11]                       sqldk!SOS_Scheduler::ResumeNoCuzz
   98   572 [ 10]                     sqldk!WorkDispatcher::EnqueueTask
   91  1205 [  9]                   sqldk!SystemTimerRequest::Resume
  108  1304 [  8]                 sqldk!SOS_Scheduler::Timer::CheckTimerList
  104  1585 [  7]               sqldk!SOS_Scheduler::SwitchContext
   13     0 [  8]                 sqldk!SOS_Scheduler::RunnableQueueDequeue
    6     0 [  9]                   sqldk!SOS_Scheduler::UseGroupRunnableQueue
   19     6 [  8]                 sqldk!SOS_Scheduler::RunnableQueueDequeue
   41     0 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
    1     0 [ 10]                     KERNEL32!QueryPerformanceCounterStub
   20     0 [ 10]                     ntdll!RtlQueryPerformanceCounter
  118    21 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
  157     0 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
   14     0 [ 11]                       sqldk!SOS_Scheduler::ComputeCPUUtilization
  337     0 [ 12]                         sqldk!SystemAffinity::GetCPUCount
   44   337 [ 11]                       sqldk!SOS_Scheduler::ComputeCPUUtilization
  163   381 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
   14     0 [ 11]                       sqldk!SOS_Scheduler::ComputeCPUUtilization
  337     0 [ 12]                         sqldk!SystemAffinity::GetCPUCount
   44   337 [ 11]                       sqldk!SOS_Scheduler::ComputeCPUUtilization
  209   762 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
   10     0 [ 11]                       sqldk!SOS_Scheduler::ComputeDeficit
  217   772 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
   10     0 [ 11]                       sqldk!SOS_Scheduler::ComputeDeficit
  224   782 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
    6     0 [ 11]                       sqldk!_security_check_cookie
  242   788 [ 10]                     sqldk!SOS_Scheduler::ComputeUtilizationAndDeficit
  154  1051 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
   25     0 [ 10]                     sqldk!SystemAffinity::SafeCopy
    6     0 [ 11]                       sqldk!SystemAffinity::IsEmpty
   33     6 [ 10]                     sqldk!SystemAffinity::SafeCopy
  158  1090 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
  337     0 [ 10]                     sqldk!SystemAffinity::GetCPUCount
  198  1427 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
   33     0 [ 10]                     sqldk!GroupWorkerQueue::Dequeue
    1     0 [ 11]                       KERNEL32!QueryPerformanceCounterStub
   20     0 [ 11]                       ntdll!RtlQueryPerformanceCounter
   57    21 [ 10]                     sqldk!GroupWorkerQueue::Dequeue
  209  1505 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
    6     0 [ 10]                     sqldk!_security_check_cookie
  215  1511 [  9]                   sqldk!SOS_Scheduler::SelectWorkerByDeficit
   31  1732 [  8]                 sqldk!SOS_Scheduler::RunnableQueueDequeue
  110  3348 [  7]               sqldk!SOS_Scheduler::SwitchContext
   57     0 [  8]                 sqldk!SchedulerPoolData::AccountRunnableWorkerRemoval
  143  3405 [  7]               sqldk!SOS_Scheduler::SwitchContext
   17     0 [  8]                 sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
    1     0 [  9]                   KERNEL32!QueryPerformanceCounterStub
   20     0 [  9]                   ntdll!RtlQueryPerformanceCounter
   37    21 [  8]                 sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
    1     0 [  9]                   sqldk!memcpy
  101     0 [  9]                   MSVCR120!memcpy
   47   123 [  8]                 sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
  156  3575 [  7]               sqldk!SOS_Scheduler::SwitchContext
   20     0 [  7]               sqldk!SOS_Scheduler::Switch
   42     0 [  8]                 sqldk!SOS_Scheduler::TaskTransition
   22     0 [  9]                   sqldk!Worker::ProfilingCPUTicks::ProfilingCpuTicksCallback
   51    22 [  8]                 sqldk!SOS_Scheduler::TaskTransition
    1     0 [  9]                   KERNEL32!QueryPerformanceCounterStub
   20     0 [  9]                   ntdll!RtlQueryPerformanceCounter
   73    43 [  8]                 sqldk!SOS_Scheduler::TaskTransition
   20     0 [  9]                   sqldk!SOS_ResourceGroup::UpdateCPUConsumed
   92    63 [  8]                 sqldk!SOS_Scheduler::TaskTransition
    8     0 [  9]                   sqlservr!switch_call_back
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   14     8 [  9]                   sqlservr!switch_call_back
   15     0 [ 10]                     sqlservr!ExcHandler::ExcHandler
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   31     8 [ 10]                     sqlservr!ExcHandler::ExcHandler
   30    47 [  9]                   sqlservr!switch_call_back
    4     0 [ 10]                     sqlmin!SETaskSuspendingNotification
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   16     8 [ 10]                     sqlmin!SETaskSuspendingNotification
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   31    16 [ 10]                     sqlmin!SETaskSuspendingNotification
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   49    24 [ 10]                     sqlmin!SETaskSuspendingNotification
    9     0 [ 11]                       sqlmin!IndexDataSetSession::ReleaseLazyLatchUponContextSwitch
   14     0 [ 12]                         sqlmin!IndexRowScanner::PrepareToSuspend
   50    14 [ 11]                       sqlmin!IndexDataSetSession::ReleaseLazyLatchUponContextSwitch
   53    88 [ 10]                     sqlmin!SETaskSuspendingNotification
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   68    96 [ 10]                     sqlmin!SETaskSuspendingNotification
   33   211 [  9]                   sqlservr!switch_call_back
    9     0 [ 10]                     sqlservr!ExcHandler::~ExcHandler
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   19     8 [ 10]                     sqlservr!ExcHandler::~ExcHandler
   37   238 [  9]                   sqlservr!switch_call_back
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   48   246 [  9]                   sqlservr!switch_call_back
  102   357 [  8]                 sqldk!SOS_Scheduler::TaskTransition
   35   459 [  7]               sqldk!SOS_Scheduler::Switch
    1     0 [  8]                 KERNEL32!QueryPerformanceCounterStub
   20     0 [  8]                 ntdll!RtlQueryPerformanceCounter
   50   480 [  7]               sqldk!SOS_Scheduler::Switch
    1     0 [  8]                 KERNEL32!SignalObjectAndWaitStub
   18     0 [  8]                 KERNELBASE!SignalObjectAndWait
    1     0 [  9]                   KERNELBASE!memset
   36     0 [  9]                   ntdll!memset
   30    37 [  8]                 KERNELBASE!SignalObjectAndWait
    5     0 [  9]                   KERNELBASE!BaseFormatTimeOut
   36    42 [  8]                 KERNELBASE!SignalObjectAndWait
    6     0 [  9]                   ntdll!NtSignalAndWaitForSingleObject
>> More than one level popped 8 -> 8
   53    48 [  8]                 KERNELBASE!SignalObjectAndWait
   63   582 [  7]               sqldk!SOS_Scheduler::Switch
    1     0 [  8]                 KERNEL32!QueryPerformanceCounterStub
   20     0 [  8]                 ntdll!RtlQueryPerformanceCounter
   83   603 [  7]               sqldk!SOS_Scheduler::Switch
   42     0 [  8]                 sqldk!SOS_Scheduler::TaskTransition
   17     0 [  9]                   sqldk!Worker::ProfilingCPUTicks::ProfilingCpuTicksCallback
   53    17 [  8]                 sqldk!SOS_Scheduler::TaskTransition
    1     0 [  9]                   KERNEL32!QueryPerformanceCounterStub
   20     0 [  9]                   ntdll!RtlQueryPerformanceCounter
   71    38 [  8]                 sqldk!SOS_Scheduler::TaskTransition
    8     0 [  9]                   sqlservr!switch_call_back
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   14     8 [  9]                   sqlservr!switch_call_back
   15     0 [ 10]                     sqlservr!ExcHandler::ExcHandler
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   31     8 [ 10]                     sqlservr!ExcHandler::ExcHandler
   26    47 [  9]                   sqlservr!switch_call_back
    9     0 [ 10]                     sqlservr!ExcHandler::~ExcHandler
    1     0 [ 11]                       KERNEL32!TlsGetValueStub
    7     0 [ 11]                       KERNEL32!TlsGetValue
   19     8 [ 10]                     sqlservr!ExcHandler::~ExcHandler
   30    74 [  9]                   sqlservr!switch_call_back
    1     0 [ 10]                     KERNEL32!TlsGetValueStub
    7     0 [ 10]                     KERNEL32!TlsGetValue
   41    82 [  9]                   sqlservr!switch_call_back
   81   161 [  8]                 sqldk!SOS_Scheduler::TaskTransition
  107   845 [  7]               sqldk!SOS_Scheduler::Switch
   40  4683 [  6]             sqldk!SOS_Scheduler::SuspendNonPreemptive
   72  5160 [  5]           sqllang!EventInternal<SuspendQueueSLock>::Wait
    9     0 [  6]             sqldk!SOS_Task::PostWait
    1     0 [  7]               KERNEL32!TlsGetValueStub
    7     0 [  7]               KERNEL32!TlsGetValue
   23     8 [  6]             sqldk!SOS_Task::PostWait
   41     0 [  7]               sqldk!SOS_Scheduler::UpdateWaitTimeStats
    1     0 [  8]                 KERNEL32!QueryPerformanceCounterStub
   20     0 [  8]                 ntdll!RtlQueryPerformanceCounter
   97    21 [  7]               sqldk!SOS_Scheduler::UpdateWaitTimeStats
    3     0 [  8]                 sqllang!WaitStatsSinkBase::AddWaitStat
   43     0 [  9]                   sqldk!SOS_WaitStats::Add
    5    43 [  8]                 sqllang!WaitStatsSinkBase::AddWaitStat
