   46    78 [  5]           sqllang!CFormattedParams::AddParam
   58     0 [  6]             MSVCR120!_vsnwprintf_l
   56   136 [  5]           sqllang!CFormattedParams::AddParam
 1080     0 [  6]             sqllang!CFormattedParams::FinalizeParam
   59  1216 [  5]           sqllang!CFormattedParams::AddParam
    6     0 [  6]             sqllang!_security_check_cookie
   68  1222 [  5]           sqllang!CFormattedParams::AddParam
 2080  2014 [  4]         sqllang!FFormatParams
    6     0 [  5]           sqllang!_security_check_cookie
 2090  2020 [  4]         sqllang!FFormatParams
  655  5761 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   18     0 [  4]         sqllang!CErrorReportingManager::EGetDestination
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   28     8 [  4]         sqllang!CErrorReportingManager::EGetDestination
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   38    16 [  4]         sqllang!CErrorReportingManager::EGetDestination
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   49    24 [  4]         sqllang!CErrorReportingManager::EGetDestination
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   73    32 [  4]         sqllang!CErrorReportingManager::EGetDestination
   13     0 [  5]           sqllang!SDSShouldTranslateError
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   17     8 [  5]           sqllang!SDSShouldTranslateError
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   30    16 [  5]           sqllang!SDSShouldTranslateError
   97    78 [  4]         sqllang!CErrorReportingManager::EGetDestination
  667  5936 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   12     0 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   18     8 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   27    16 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   33    24 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    6     0 [  5]           sqllang!PCXCtxtGetIfExistsEXPENSIVE
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
    9     8 [  5]           sqllang!PCXCtxtGetIfExistsEXPENSIVE
   37    41 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    6     0 [  5]           sqllang!PCXCtxtGetIfExistsEXPENSIVE
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
    9     8 [  5]           sqllang!PCXCtxtGetIfExistsEXPENSIVE
   43    58 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
    9     0 [  5]           sqllang!CExecLvlRepresentation::FErrorModeJumpToCatch
   58    67 [  4]         sqllang!CAutoInterceptErrorForTsqlCatch::Initialize
  675  6061 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
    6     0 [  4]         sqllang!CErrorReportingManager::SetError
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   27     8 [  4]         sqllang!CErrorReportingManager::SetError
   12     0 [  4]         sqllang!getret
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   31     8 [  4]         sqllang!getret
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   40    16 [  4]         sqllang!getret
  687  6152 [  3]       sqllang!CErrorReportingManager::CwchFormatAndPrint
   22     0 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   18     0 [  5]           sqllang!ExcHandler::ExcHandler
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   34     8 [  5]           sqllang!ExcHandler::ExcHandler
   27    42 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   39    50 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   13     0 [  5]           sqldk!CMemObj::Alloc
   20     0 [  6]             sqldk!CSlotPageMgr::PbAllocate
   19    20 [  5]           sqldk!CMemObj::Alloc
  182     0 [  6]             sqldk!TVarPageMgr<0>::PbAllocate
   26   202 [  5]           sqldk!CMemObj::Alloc
   42   278 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   16     0 [  5]           sqllang!CAutoRg<unsigned short>::operator=
   50   294 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   15     0 [  5]           sqllang!CErrorEventId::CErrorEventId
   55   309 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
    6     0 [  5]           sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   11     8 [  5]           sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   18    16 [  5]           sqllang!CErrorReportingManager::SGetLanguageId
    1     0 [  6]             KERNEL32!TlsGetValueStub
    7     0 [  6]             KERNEL32!TlsGetValue
   24    24 [  5]           sqllang!CErrorReportingManager::SGetLanguageId
    9     0 [  5]           sqlTsEs!getmsglangid
   64   366 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   16     0 [  5]           sqllang!CErrorReportingManager::CwchCallFormatMessage
 4174     0 [  6]             sqllang!CwchCallFormatMessage
   19  4174 [  5]           sqllang!CErrorReportingManager::CwchCallFormatMessage
   68  4559 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
    1     0 [  5]           KERNEL32!TlsGetValueStub
    7     0 [  5]           KERNEL32!TlsGetValue
   76  4567 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   31     0 [  5]           sqllang!Worker::SetExceptionMessage
   19     0 [  6]             sqldk!CMemObj::Free
   57    19 [  5]           sqllang!Worker::SetExceptionMessage
   26     0 [  6]             sqldk!CMemObj::Alloc
   65    45 [  5]           sqllang!Worker::SetExceptionMessage
   13     0 [  6]             sqllang!StringCchCopyW
   71    58 [  5]           sqllang!Worker::SetExceptionMessage
   83  4696 [  4]         sqllang!CErrorReportingManager::SendErrorToUser
   21     0 [  5]           sqllang!CErrorReportingManager::SendErrorToUserWithTracing
   34     0 [  6]             sqllang!ExcHandler::ExcHandler
   45    34 [  5]           sqllang!CErrorReportingManager::SendErrorToUserWithTracing
  148     0 [  6]             sqllang!SendErrorToUser
   49   182 [  5]           sqllang!CErrorReportingManager::SendErrorToUserWithTracing
