  148   742 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
   60   890 [  3]       sqllang!CServerCargoContext::ReadOneRow
   22   950 [  2]     sqllang!CUDXR_ExternalScript::ProcessResultRows
    7     0 [  3]       sqllang!CUDXR_ExternalScript::EndOutput
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   14     8 [  3]       sqllang!CUDXR_ExternalScript::EndOutput
   27   972 [  2]     sqllang!CUDXR_ExternalScript::ProcessResultRows
   59  2607 [  1]   sqllang!CUDXR_ExternalScript::PullRow
   36     0 [  2]     sqllang!CUDXR_ExternalScript::ProcessOutputArguments
   31     0 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
  150     0 [  4]         sqllang!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   40   150 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
   39     0 [  4]         sqllang!CSQLSatelliteCommunication::Init
   14     0 [  5]           sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
   44    14 [  4]         sqllang!CSQLSatelliteCommunication::Init
   14     0 [  5]           sqllang!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
   54    28 [  4]         sqllang!CSQLSatelliteCommunication::Init
    6     0 [  5]           sqllang!_security_check_cookie
   64    34 [  4]         sqllang!CSQLSatelliteCommunication::Init
   58   248 [  3]       sqllang!CServerCargoContext::ReadOutputArgumentsInternal
   30     0 [  4]         sqllang!CServerCargoContext::ReadAllPackets
   10     0 [  5]           sqllang!CSQLSatelliteConnection::GetNextMessage
   14     0 [  6]             sqllang!CSQLSatelliteConnection::RetrieveMessage
    2     0 [  7]               sqldk!SystemThread::GetCurrentId
   53     2 [  6]             sqllang!CSQLSatelliteConnection::RetrieveMessage
   19    55 [  5]           sqllang!CSQLSatelliteConnection::GetNextMessage
   38    74 [  4]         sqllang!CServerCargoContext::ReadAllPackets
   20     0 [  5]           sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
