
-- Straight SELECT
1a 00000041`08bfeb30 00007ff9`f9dba41b sqllang!CSQLSource::Execute+0x983
1b 00000041`08bfecd0 00007ff9`f9dbf692 sqllang!process_request+0xe61
1c 00000041`08bff2a0 00007ff9`f9dbf7a3 sqllang!process_commands_internal+0x2df
1d 00000041`08bff320 00007ff9`ff3a540d sqllang!process_messages+0x253
1e 00000041`08bff530 00007ff9`ff3a5905 sqldk!SOS_Task::Param::Execute+0x231
1f 00000041`08bffb30 00007ff9`ff3a555d sqldk!SOS_Scheduler::RunTask+0xaa
20 00000041`08bffba0 00007ff9`ff3c3d58 sqldk!SOS_Scheduler::ProcessTasks+0x3cd
21 00000041`08bffc80 00007ff9`ff3c3f40 sqldk!SchedulerManager::WorkerEntryPoint+0x2a1
22 00000041`08bffd50 00007ff9`ff3c3ec7 sqldk!SystemThread::RunWorker+0x8f
23 00000041`08bffd80 00007ff9`ff3c4498 sqldk!SystemThreadDispatcher::ProcessWorker+0x2de
24 00000041`08bffe30 00007ffa`43163f84 sqldk!SchedulerManager::ThreadEntryPoint+0x1d8
25 00000041`08bffee0 00007ffa`45cd13b1 KERNEL32!BaseThreadInitThunk+0x14
26 00000041`08bfff10 00000000`00000000 ntdll!RtlUserThreadStart+0x21
