2018-11-02 13:51:46.0009 UTC [DEBUG   ] [RequestId 7a8c59b2-8dad-42e2-a732-9c5377a52abb] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:46.0010 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:46.0023 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:46.0025 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:51.0025 UTC [DEBUG   ] [RequestId 5ceafdfe-0e32-4280-8c96-7319847e33b3] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:51.0026 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:51.0040 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:51.0041 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:56.0041 UTC [DEBUG   ] [RequestId 53bd5497-c490-4a01-b630-c9ace100a6a8] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:56.0042 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:56.0057 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:56.0058 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:01.0059 UTC [DEBUG   ] [RequestId fce1f17b-5689-4da3-8a97-2273ecd53506] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:01.0060 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:01.0074 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:01.0075 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:06.0075 UTC [DEBUG   ] [RequestId c98cfc5c-53fc-4f41-9d8c-158a1b6ad7de] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:06.0076 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:06.0089 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:06.0090 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:11.0090 UTC [DEBUG   ] [RequestId e06159dd-7696-466e-ad88-ee50cf6d8e24] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:11.0091 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:11.0105 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:11.0106 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:16.0106 UTC [DEBUG   ] [RequestId 9bee78fe-d50e-45c7-b5ee-5bde64594612] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:16.0107 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:16.0120 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:16.0121 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:21.0122 UTC [DEBUG   ] [RequestId 0b55bb29-849c-48cc-aa66-e13674008491] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:21.0123 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:21.0141 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:21.0142 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:26.0143 UTC [DEBUG   ] [RequestId aefed4ba-7828-4793-9e9e-492eb8beb3ba] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:26.0144 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:26.0160 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:26.0161 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:31.0162 UTC [DEBUG   ] [RequestId 084519ec-fbcc-467d-b6f2-148377b18bc2] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:31.0163 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:31.0176 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:31.0177 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:36.0178 UTC [DEBUG   ] [RequestId 3a5ad921-636c-40df-a3cd-77c4f1868137] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:36.0179 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:36.0191 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:36.0192 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:41.0192 UTC [DEBUG   ] [RequestId 8f4424c4-c412-4d73-b13f-324323063871] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:41.0193 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:41.0206 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:41.0207 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:46.0207 UTC [DEBUG   ] [RequestId 20808942-4408-4fb9-b5a8-1a4cae6bac3a] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:46.0208 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:46.0223 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:46.0225 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:51.0226 UTC [DEBUG   ] [RequestId 5b0bda55-8af5-4a32-84c6-2a87cc225108] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:51.0227 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:51.0240 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:51.0241 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:52:56.0241 UTC [DEBUG   ] [RequestId 7a72066c-f7ed-413f-9126-dd8a9d1f3125] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:52:56.0242 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:52:56.0255 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:52:56.0256 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:01.0257 UTC [DEBUG   ] [RequestId 9985cf55-a6a2-4f54-a1ad-781fc4bb82f5] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:01.0258 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:01.0270 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:01.0271 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:06.0272 UTC [DEBUG   ] [RequestId 089d5f98-0e53-4db5-af27-3e4636a48036] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:06.0273 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:06.0286 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:06.0287 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:11.0287 UTC [DEBUG   ] [RequestId e8ea497c-fb45-4343-bc94-78baaf1c16d5] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:11.0288 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:11.0301 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:11.0302 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:16.0303 UTC [DEBUG   ] [RequestId 220a8891-6023-4f7f-9ae6-4cf05de28afa] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:16.0304 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:16.0320 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:16.0321 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:21.0322 UTC [DEBUG   ] [RequestId f7e5786d-b928-415a-84b4-d9b967e24d54] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:21.0323 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:21.0336 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:21.0337 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:26.0337 UTC [DEBUG   ] [RequestId 7b406cb1-754d-4ce6-b492-b43b8209b40e] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:26.0339 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:26.0354 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:26.0356 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:31.0356 UTC [DEBUG   ] [RequestId b771f8d3-5706-45b2-addc-a2ba79d61a87] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:31.0357 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:31.0370 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:31.0371 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:53:36.0372 UTC [DEBUG   ] [RequestId fb50214f-3044-4724-823e-963e115ed778] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:53:36.0373 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:53:36.0386 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:53:36.0387 UTC [INFO    ] Waiting for controller to be ready...
